fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern
NF,,,,,36.066012045635965,129.34200851477172,809.9999999999093,,,,,16.0,342.0,,,,,20,
NF,,,,,36.066012045635965,129.3425766965899,822.1556216063897,,,,,16.0,342.0,,,,,20,
NF,,,,,36.066012045635965,129.34314487840808,834.0437293528161,,,,,16.0,342.0,,,,,20,
NF,,,,,36.066012045635965,129.34371306022626,845.6373986619153,,,,,16.0,342.0,,,,,20,
NF,,,,,36.066012045635965,129.34428124204445,856.9067795963438,,,,,16.0,342.0,,,,,20,
NF,,,,,36.066012045635965,129.34484942386263,867.818865668793,,,,,16.0,342.0,,,,,20,
NF,,,,,36.066012045635965,129.3454176056808,878.3372922097726,,,,,16.0,342.0,,,,,20,
NF,,,,,36.066012045635965,129.345985787499,888.4221885000906,,,,,16.0,342.0,,,,,20,
NF,,,,,36.066012045635965,129.34655396931717,898.0301155512968,,,,,16.0,342.0,,,,,20,
NF,,,,,36.066012045635965,129.34712215113535,907.1141296210907,,,,,16.0,342.0,,,,,20,
NF,,,,,36.066012045635965,129.34769033295353,915.6240191577044,,,,,16.0,342.0,,,,,20,
D1,,,,,36.066012045635965,129.34825851477171,923.5067679830444,,,,,16.0,342.0,,,,,20,
D1,,,,,36.066012045635965,129.3488266965899,930.7072973860884,,,,,16.0,342.0,,,,,20,
D1,,,,,36.066012045635965,129.34939487840808,937.1695309333687,,,,,16.0,342.0,,,,,20,
D1,,,,,36.066012045635965,129.34996306022626,942.8378046500142,,,,,16.0,342.0,,,,,20,
D1,,,,,36.066012045635965,129.35053124204444,947.658609373291,,,,,16.0,342.0,,,,,20,
D1,,,,,36.066012045635965,129.35109942386262,951.5826020819467,,,,,16.0,342.0,,,,,20,
D1,,,,,36.066012045635965,129.3516676056808,954.5667642471994,,,,,16.0,342.0,,,,,20,
D1,,,,,36.066012045635965,129.35223578749898,956.5765288749642,,,,,16.0,342.0,,,,,20,
D1,,,,,36.066012045635965,129.35280396931716,957.5876594812246,,,,,16.0,342.0,,,,,20,
D1,,,,,36.066012045635965,129.35337215113537,957.5876594812246,,,,,16.0,342.0,,,,,20,
